id,category,method,recall@5,recall@10,precision@5,precision@10,mrr,ndcg@5,ndcg@10
149,easy_single_labeled,KG_dense,12.5,12.5,12.5,12.5,50,19.52,19.52
247,easy_single_labeled,KG_dense,8.333,8.333,11.11,11.11,11.11,6.506,6.506
221,easy_single_labeled,KG_dense,33.33,33.33,33.33,33.33,33.33,23.46,23.46
26,easy_single_labeled,KG_dense,50,50,50,50,100,83.19,83.19
87,easy_single_labeled,KG_dense,25,25,25,25,33.33,19.52,19.52
19,easy_single_labeled,KG_dense,100,100,100,100,100,100,100
76,easy_single_labeled,KG_dense,50,50,50,50,100,80.48,80.48
138,easy_single_labeled,KG_dense,33.33,33.33,25,25,25,20.21,20.21
195,easy_single_labeled,KG_dense,75,75,75,75,100,100,100
176,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
237,easy_single_labeled,KG_dense,25,25,33.33,33.33,33.33,19.52,19.52
163,easy_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
46,easy_single_labeled,KG_dense,33.33,33.33,25,25,25,20.21,20.21
67,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
17,easy_single_labeled,KG_dense,50,50,50,50,100,58.56,58.56
68,easy_single_labeled,KG_dense,0,0,0,0,0,0,0
206,easy_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
200,easy_single_labeled,KG_dense,33.33,33.33,25,25,33.33,43.67,43.67
177,easy_single_labeled,KG_dense,41.67,41.67,45.45,45.45,83.33,48.05,48.05
41,medium_single_labeled,KG_dense,25,25,25,25,100,39.04,39.04
23,medium_single_labeled,KG_dense,0,0,0,0,0,0,0
56,medium_single_labeled,KG_dense,25,25,25,25,100,63.67,63.67
89,medium_single_labeled,KG_dense,12.5,12.5,12.5,12.5,25,12.32,12.32
1,medium_single_labeled,KG_dense,0,0,0,0,0,0,0
27,medium_single_labeled,KG_dense,50,50,50,50,100,58.56,58.56
40,medium_single_labeled,KG_dense,50,50,50,50,100,81.83,81.83
67,medium_single_labeled,KG_dense,33.33,33.33,25,25,33.33,23.46,23.46
11,medium_single_labeled,KG_dense,25,25,50,50,100,39.04,39.04
45,medium_single_labeled,KG_dense,50,50,57.14,57.14,100,61.11,61.11
86,medium_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
36,medium_single_labeled,KG_dense,58.33,58.33,58.33,58.33,100,75.78,75.78
71,medium_single_labeled,KG_dense,50,50,57.14,57.14,100,69.52,69.52
63,medium_single_labeled,KG_dense,25,25,25,25,100,39.04,39.04
13,medium_single_labeled,KG_dense,25,25,25,25,33.33,19.52,19.52
5,medium_single_labeled,KG_dense,25,25,33.33,33.33,100,39.04,39.04
19,medium_single_labeled,KG_dense,50,50,50,50,100,75.37,75.37
29,medium_single_labeled,KG_dense,50,50,50,50,100,63.67,63.67
50,medium_single_labeled,KG_dense,0,0,0,0,0,0,0
27,medium_multi_labeled,KG_dense,42.86,42.86,37.5,37.5,75,46.64,46.64
14,medium_multi_labeled,KG_dense,33.33,33.33,33.33,33.33,77.78,44.64,44.64
25,medium_multi_labeled,KG_dense,25,25,25,25,50,24.63,24.63
22,medium_multi_labeled,KG_dense,25,25,25,25,62.5,40.24,40.24
16,medium_multi_labeled,KG_dense,25,25,25,25,75,44.64,44.64
30,medium_multi_labeled,KG_dense,25,25,25,25,75,50,50
20,medium_multi_labeled,KG_dense,25,25,25,25,56.67,33.77,33.77
6,hard_single_labeled,KG_dense,66.67,66.67,57.14,57.14,100,73.46,73.46
1,hard_single_labeled,KG_dense,33.33,33.33,25,25,16.67,21.84,21.84
10,hard_single_labeled,KG_dense,75,75,75,75,100,80.48,80.48
11,hard_multi_labeled,KG_dense,40,40,25,25,62.5,36.67,36.67
10,hard_multi_labeled,KG_dense,0,0,0,0,0,0,0
1,hard_multi_labeled,KG_dense,14.29,14.29,12.5,12.5,50,19.52,19.52
